mode,ticker,model,mean,std,folds,mean_std
Classification,AAPL,Jordan,0.4778625954198473,0.0413202094739675,5,0.478 ± 0.041
Classification,AAPL,LSTM,0.4427480916030534,0.031007780170366258,5,0.443 ± 0.031
Classification,AAPL,NEAT,0.5145038167938931,0.032206142152258005,5,0.515 ± 0.032
Classification,AAPL,Random Forest,0.5068702290076337,0.057783788909238375,5,0.507 ± 0.058
Classification,AAPL,XGBoost,0.517557251908397,0.053271286480512665,5,0.518 ± 0.053
Classification,NVDA,Jordan,0.5068702290076337,0.043718537597790444,5,0.507 ± 0.044
Classification,NVDA,LSTM,0.5099236641221374,0.03430871000647973,5,0.510 ± 0.034
Classification,NVDA,NEAT,0.5282442748091603,0.029761204106286902,5,0.528 ± 0.030
Classification,NVDA,Random Forest,0.4961832061068702,0.0640948687929262,5,0.496 ± 0.064
Classification,NVDA,XGBoost,0.5083969465648854,0.05828582952311779,5,0.508 ± 0.058
Classification,SPY,Jordan,0.532824427480916,0.06983794205485608,5,0.533 ± 0.070
Classification,SPY,LSTM,0.532824427480916,0.049881860313601666,5,0.533 ± 0.050
Classification,SPY,NEAT,0.5633587786259542,0.03907323325822818,5,0.563 ± 0.039
Classification,SPY,Random Forest,0.5114503816793893,0.03053435114503815,5,0.511 ± 0.031
Classification,SPY,XGBoost,0.517557251908397,0.05898150770101329,5,0.518 ± 0.059
Classification,TSLA,Jordan,0.5312977099236641,0.03564158024405728,5,0.531 ± 0.036
Classification,TSLA,LSTM,0.49770992366412214,0.04229586313647344,5,0.498 ± 0.042
Classification,TSLA,NEAT,0.516030534351145,0.038396263633463455,5,0.516 ± 0.038
Classification,TSLA,Random Forest,0.5221374045801527,0.033098447921646984,5,0.522 ± 0.033
Classification,TSLA,XGBoost,0.5236641221374045,0.027310753923661567,5,0.524 ± 0.027
Regression,AAPL,Jordan,0.5038167938931297,0.07576119557740156,5,0.504 ± 0.076
Regression,AAPL,LSTM,0.5145038167938931,0.04338403736910782,5,0.515 ± 0.043
Regression,AAPL,NEAT,0.5190839694656488,0.0649976578852153,5,0.519 ± 0.065
Regression,AAPL,Random Forest,0.5083969465648855,0.01916015327940632,5,0.508 ± 0.019
Regression,AAPL,XGBoost,0.517557251908397,0.06140176351813805,5,0.518 ± 0.061
Regression,NVDA,Jordan,0.5053435114503817,0.025546871039208413,5,0.505 ± 0.026
Regression,NVDA,LSTM,0.4992366412213741,0.057277348037569675,5,0.499 ± 0.057
Regression,NVDA,NEAT,0.5465648854961832,0.03353569868166232,5,0.547 ± 0.034
Regression,NVDA,Random Forest,0.5358778625954199,0.029761204106286906,5,0.536 ± 0.030
Regression,NVDA,XGBoost,0.5160305343511451,0.029858942313905294,5,0.516 ± 0.030
Regression,SPY,Jordan,0.5358778625954199,0.046244675514079264,5,0.536 ± 0.046
Regression,SPY,LSTM,0.49160305343511446,0.0821453499377991,5,0.492 ± 0.082
Regression,SPY,NEAT,0.5435114503816794,0.029761204106286913,5,0.544 ± 0.030
Regression,SPY,Random Forest,0.5068702290076337,0.04845975648275992,5,0.507 ± 0.048
Regression,SPY,XGBoost,0.5038167938931297,0.04075220706882178,5,0.504 ± 0.041
Regression,TSLA,Jordan,0.4961832061068702,0.024139524123422733,5,0.496 ± 0.024
Regression,TSLA,LSTM,0.5236641221374045,0.030819281279673785,5,0.524 ± 0.031
Regression,TSLA,NEAT,0.48244274809160304,0.03755228664503463,5,0.482 ± 0.038
Regression,TSLA,Random Forest,0.5190839694656488,0.017069221202288497,5,0.519 ± 0.017
Regression,TSLA,XGBoost,0.5206106870229007,0.03344870580184221,5,0.521 ± 0.033
