ticker,mode,model,fold,score
NVDA,Classification,Random Forest,1,0.46564885496183206
NVDA,Classification,Random Forest,2,0.4732824427480916
NVDA,Classification,Random Forest,3,0.5801526717557252
NVDA,Classification,Random Forest,4,0.5419847328244275
NVDA,Classification,Random Forest,5,0.4198473282442748
NVDA,Classification,XGBoost,1,0.5114503816793893
NVDA,Classification,XGBoost,2,0.45038167938931295
NVDA,Classification,XGBoost,3,0.5801526717557252
NVDA,Classification,XGBoost,4,0.549618320610687
NVDA,Classification,XGBoost,5,0.45038167938931295
NVDA,Classification,LSTM,1,0.5419847328244275
NVDA,Classification,LSTM,2,0.5267175572519084
NVDA,Classification,LSTM,3,0.46564885496183206
NVDA,Classification,LSTM,4,0.48091603053435117
NVDA,Classification,LSTM,5,0.5343511450381679
NVDA,Classification,NEAT,1,0.5114503816793893
NVDA,Classification,NEAT,2,0.5114503816793893
NVDA,Classification,NEAT,3,0.5267175572519084
NVDA,Classification,NEAT,4,0.5801526717557252
NVDA,Classification,NEAT,5,0.5114503816793893
NVDA,Classification,Jordan,1,0.5572519083969466
NVDA,Classification,Jordan,2,0.5038167938931297
NVDA,Classification,Jordan,3,0.48091603053435117
NVDA,Classification,Jordan,4,0.45038167938931295
NVDA,Classification,Jordan,5,0.5419847328244275
NVDA,Regression,Random Forest,1,0.5725190839694656
NVDA,Regression,Random Forest,2,0.5267175572519084
NVDA,Regression,Random Forest,3,0.5572519083969466
NVDA,Regression,Random Forest,4,0.5267175572519084
NVDA,Regression,Random Forest,5,0.4961832061068702
NVDA,Regression,XGBoost,1,0.4732824427480916
NVDA,Regression,XGBoost,2,0.5343511450381679
NVDA,Regression,XGBoost,3,0.5343511450381679
NVDA,Regression,XGBoost,4,0.5419847328244275
NVDA,Regression,XGBoost,5,0.4961832061068702
NVDA,Regression,LSTM,1,0.40458015267175573
NVDA,Regression,LSTM,2,0.5419847328244275
NVDA,Regression,LSTM,3,0.48854961832061067
NVDA,Regression,LSTM,4,0.5419847328244275
NVDA,Regression,LSTM,5,0.5190839694656488
NVDA,Regression,NEAT,1,0.5954198473282443
NVDA,Regression,NEAT,2,0.5572519083969466
NVDA,Regression,NEAT,3,0.549618320610687
NVDA,Regression,NEAT,4,0.5190839694656488
NVDA,Regression,NEAT,5,0.5114503816793893
NVDA,Regression,Jordan,1,0.5038167938931297
NVDA,Regression,Jordan,2,0.5343511450381679
NVDA,Regression,Jordan,3,0.4732824427480916
NVDA,Regression,Jordan,4,0.48854961832061067
